nhood,day_of_week,hour_bucket,total_travel_time,avg_travel_time,min_travel_time,max_travel_time
Tenderloin,0,10-16,12013.57,667.4205555555556,198.06,2265.57
Tenderloin,0,16-19,2198.0,244.22222222222223,192.83,286.14
Tenderloin,0,19-0,2700.09,245.46272727272728,165.56,332.74
Tenderloin,0,7-10,7859.91,561.4221428571428,196.29,1856.71
Tenderloin,1,0-7,2407.31,300.91375,235.78,496.38
Tenderloin,1,10-16,11095.35,652.6676470588236,183.29,2767.83
Tenderloin,1,16-19,6071.96,607.196,187.0,4010.67
Tenderloin,1,19-0,6860.139999999999,457.3426666666666,174.67,2173.25
Tenderloin,1,7-10,8159.21,582.8007142857143,186.47,2165.0
Tenderloin,2,0-7,5212.84,400.9876923076923,196.43,1029.09
Tenderloin,2,10-16,6057.51,378.594375,166.24,1134.83
Tenderloin,2,16-19,2585.49,235.04454545454544,160.17,291.87
Tenderloin,2,19-0,5653.46,434.88153846153847,191.93,2247.0
Tenderloin,2,7-10,11122.4,695.15,175.31,1780.33
Tenderloin,3,0-7,3092.31,309.231,186.5,542.75
Tenderloin,3,10-16,9612.21,565.4241176470588,178.94,2188.67
Tenderloin,3,16-19,4639.42,386.61833333333334,181.63,2118.71
Tenderloin,3,19-0,9301.51,516.7505555555556,39.5,2313.43
Tenderloin,3,7-10,9055.13,646.795,171.56,1920.0
Tenderloin,4,0-7,2417.39,268.5988888888889,170.0,416.75
Tenderloin,4,10-16,28238.69,1086.1034615384615,187.9,4034.38
Tenderloin,4,16-19,7060.69,543.13,179.36,2851.56
Tenderloin,4,19-0,11964.39,598.2194999999999,86.43,2115.5
Tenderloin,4,7-10,2325.82,232.58200000000002,163.71,376.75
Tenderloin,5,0-7,5500.74,423.13384615384615,242.73,1221.67
Tenderloin,5,10-16,12468.269999999999,656.2247368421052,181.67,2521.83
Tenderloin,5,16-19,6413.05,427.5366666666667,156.91,1192.71
Tenderloin,5,19-0,6213.85,388.365625,65.57,1034.0
Tenderloin,5,7-10,2358.25,393.0416666666667,166.25,997.07
Tenderloin,6,0-7,4721.8,393.48333333333335,211.25,1017.57
Tenderloin,6,10-16,8837.71,490.9838888888888,174.0,1082.64
Tenderloin,6,16-19,4696.13,361.2407692307692,172.55,1108.17
Tenderloin,6,19-0,5634.5,433.4230769230769,193.4,2050.0
Tenderloin,6,7-10,2808.25,280.825,163.58,381.06
Western Addition,3,19-0,798.51,199.6275,127.29,267.0
Western Addition,6,19-0,766.0,766.0,766.0,766.0
Western SoMa,0,0-7,6987.27,268.74115384615385,236.64,297.77
Western SoMa,0,10-16,7875.72,302.9123076923077,237.07,434.34
Western SoMa,0,16-19,9368.12,360.31230769230774,226.35,694.26
Western SoMa,0,19-0,8264.51,229.56972222222223,43.75,355.53
Western SoMa,0,7-10,12205.96,469.46,229.74,891.67
Western SoMa,1,0-7,7319.18,281.5069230769231,241.04,338.48
Western SoMa,1,10-16,8234.4,316.7076923076923,233.04,468.93
Western SoMa,1,16-19,11502.83,442.41653846153844,233.5,1082.72
Western SoMa,1,19-0,9840.61,273.3502777777778,107.1,563.3
Western SoMa,1,7-10,13571.84,521.9938461538461,219.84,860.33
Western SoMa,2,0-7,7362.08,283.1569230769231,236.81,401.47
Western SoMa,2,10-16,8631.51,331.98115384615386,232.62,544.28
Western SoMa,2,16-19,11239.94,432.30538461538464,226.28,954.0
Western SoMa,2,19-0,8504.44,236.23444444444445,85.32,360.58
Western SoMa,2,7-10,12631.11,485.8119230769231,240.8,908.72
Western SoMa,3,0-7,7236.82,278.33923076923077,238.88,312.39
Western SoMa,3,10-16,9466.62,364.1007692307693,222.73,683.05
Western SoMa,3,16-19,10594.02,407.4623076923077,235.94,756.84
Western SoMa,3,19-0,9410.91,254.3489189189189,49.85,372.97
Western SoMa,3,7-10,13895.87,534.4565384615385,218.36,1141.92
Western SoMa,4,0-7,6922.34,266.24384615384616,239.12,313.48
Western SoMa,4,10-16,9988.54,384.17461538461544,240.63,765.15
Western SoMa,4,16-19,12551.05,482.7326923076923,237.71,1305.65
Western SoMa,4,19-0,10240.11,284.4475,174.77,637.72
Western SoMa,4,7-10,10795.34,415.2053846153846,216.7,794.55
Western SoMa,5,0-7,7267.74,279.52846153846156,244.47,351.73
Western SoMa,5,10-16,9082.880000000001,349.3415384615385,233.93,772.76
Western SoMa,5,16-19,9476.789999999999,364.49192307692306,229.32,729.89
Western SoMa,5,19-0,9222.869999999999,256.19083333333333,169.21,321.51
Western SoMa,5,7-10,7276.38,279.8607692307692,224.19,398.36
Western SoMa,6,0-7,7096.21,272.93115384615385,241.24,349.25
Western SoMa,6,10-16,7383.32,283.9738461538461,228.13,399.82
Western SoMa,6,16-19,7225.25,277.8942307692308,227.63,348.3
Western SoMa,6,19-0,9799.18,264.8427027027027,81.5,635.89
Western SoMa,6,7-10,6744.22,259.39307692307693,224.72,346.25
