nhood,day_of_week,hour_bucket,total_travel_time,avg_travel_time,min_travel_time,max_travel_time
Civic Center,2,7-10,2436.03,1218.015,916.9,1519.13
Civic Center,3,10-16,5678.639999999999,630.9599999999999,470.29,845.29
Civic Center,3,16-19,759.0,759.0,759.0,759.0
Civic Center,3,19-0,4249.16,386.2872727272727,91.0,1610.0
Civic Center,4,10-16,9104.04,758.6700000000001,495.17,1119.89
Civic Center,4,16-19,3214.25,642.85,425.0,1033.83
Civic Center,4,19-0,5906.23,328.12388888888887,73.93,707.5
Civic Center,4,7-10,740.33,740.33,740.33,740.33
Civic Center,5,10-16,6093.54,609.354,431.0,771.88
Civic Center,5,16-19,435.5,435.5,435.5,435.5
Civic Center,5,19-0,4613.24,329.51714285714286,120.81,763.89
Civic Center,6,0-7,904.5,904.5,904.5,904.5
Civic Center,6,10-16,3033.25,758.3125,556.25,880.33
Civic Center,6,19-0,2012.53,503.1325,411.57,624.0
Haight Ashbury/Cole Valley,0,0-7,150685.79,984.8744444444445,412.21,2511.0
Haight Ashbury/Cole Valley,0,10-16,194223.68,990.9371428571428,514.56,2561.63
Haight Ashbury/Cole Valley,0,16-19,143442.12,1062.5342222222223,518.18,2639.35
Haight Ashbury/Cole Valley,0,19-0,137589.76,795.3165317919076,65.43,2140.83
Haight Ashbury/Cole Valley,0,7-10,207172.27,1218.6604117647057,378.0,3132.67
Haight Ashbury/Cole Valley,1,0-7,116951.83,935.61464,385.5,2568.17
Haight Ashbury/Cole Valley,1,10-16,184015.6,994.678918918919,456.44,2666.17
Haight Ashbury/Cole Valley,1,16-19,144092.12,1190.8439669421487,530.57,2908.69
Haight Ashbury/Cole Valley,1,19-0,143000.34,841.1784705882353,42.17,2139.38
Haight Ashbury/Cole Valley,1,7-10,179273.82,1203.18,371.17,2779.91
Haight Ashbury/Cole Valley,2,0-7,141417.7,968.6143835616439,394.18,2896.25
Haight Ashbury/Cole Valley,2,10-16,195713.6,998.5387755102041,471.9,3244.86
Haight Ashbury/Cole Valley,2,16-19,167889.18,1157.8564137931035,471.63,2656.54
Haight Ashbury/Cole Valley,2,19-0,151620.08,824.0221739130434,57.71,2124.42
Haight Ashbury/Cole Valley,2,7-10,173407.23,1126.020974025974,465.71,2655.5
Haight Ashbury/Cole Valley,3,0-7,125785.37,945.7546616541352,386.78,2501.0
